Dataset,SampleSize,Seed,PositiveCount,NegativeCount,TrainSamples,TestSamples,SecureEvalSamples,Method,Acc,TimeMs,CommMB,TotalCommMB,ModelExposure,ModelShareThreshold
ISIC 2018 Task 3 Training,512,42,256,256,409,103,64,2Cloud-D,0.53125,3.47548265625,0.5744705200195312,36.76611328125,1,1
ISIC 2018 Task 3 Training,512,42,256,256,409,103,64,Delphi,0.53125,3768.568803125,368.19947052001953,23564.76611328125,1,1
ISIC 2018 Task 3 Training,512,42,256,256,409,103,64,Sonic,0.53125,69.96720312500001,6.798586253076792,435.1095201969147,0,2
ISIC 2018 Task 3 Training,512,42,256,256,409,103,64,Cheetah,0.53125,5.519884218750001,35.078369140625,2245.015625,1,1
ISIC 2018 Task 3 Training,512,42,256,256,409,103,64,ASS (Ours),0.53125,4.088803125,3.8772201538085938,248.14208984375,0,2
