Scenario,ScenarioDescription,Task,Domain,Method,Parties,InteractionRounds,ComputeMs,OnlineCommMB,RTTMs,BandwidthMbps,TransferMs,RoundTripMs,ProjectedE2EMs,ProjectedQPS,ComputeSharePct,TransferSharePct,RoundTripSharePct
metropolitan_edge,metropolitan edge federation,Wine,general,2Cloud-D (Data-only),2,1,0.050494444444444446,0.022796630859375,20.0,200.0,0.911865234375,20.0,20.962359678819446,47.704553080940066,0.24088149052925792,4.350012347590604,95.40910616188013
regional_cloud,regional public cloud deployment,Wine,general,2Cloud-D (Data-only),2,1,0.050494444444444446,0.022796630859375,50.0,100.0,1.82373046875,50.0,51.874224913194446,19.277396465651005,0.09734014248683444,3.51567752925813,96.38698232825503
cross_region_cloud,cross-region cloud collaboration,Wine,general,2Cloud-D (Data-only),2,1,0.050494444444444446,0.022796630859375,100.0,50.0,3.6474609375,100.0,103.69795538194444,9.643391678425676,0.048693770536228316,3.517389445207021,96.43391678425675
iot_gateway,constrained IoT gateway uplink,Wine,general,2Cloud-D (Data-only),2,1,0.050494444444444446,0.022796630859375,30.0,20.0,9.11865234375,30.0,39.169146788194446,25.530298257642908,0.12891382270206467,23.280191404369205,76.59089477292873
edge_lan,co-located edge/cloudlet nodes,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,1.0,1000.0,0.265869140625,1.0,1.3200459924768517,757.549362445821,4.104163957969206,20.140899797448707,75.7549362445821
campus_cloudlet,campus or hospital cloudlet,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,5.0,1000.0,0.265869140625,5.0,5.320045992476852,187.96829978803066,1.0183530730460613,4.997497032938608,93.98414989401532
metropolitan_edge,metropolitan edge federation,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,20.0,200.0,1.329345703125,20.0,21.383522554976853,46.76497978427121,0.25335793816273083,6.216682493294842,93.52995956854242
regional_cloud,regional public cloud deployment,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,50.0,100.0,2.65869140625,50.0,52.71286825810185,18.970699812873534,0.10277727932880032,5.043723656303535,94.85349906436767
cross_region_cloud,cross-region cloud collaboration,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,100.0,50.0,5.3173828125,100.0,105.37155966435185,9.490226804892867,0.05141506116491542,5.046316889906413,94.90226804892868
iot_gateway,constrained IoT gateway uplink,Wine,general,ASS (Ours),2,1,0.05417685185185185,0.033233642578125,30.0,20.0,13.29345703125,30.0,43.34763388310185,23.06930991197258,0.1249822585425396,30.66708800553972,69.20792973591774
edge_lan,co-located edge/cloudlet nodes,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,1.0,1000.0,0.580078125,1.0,1.6537512731481483,604.6858534514439,4.454911046441763,35.07650360841384,60.46858534514439
campus_cloudlet,campus or hospital cloudlet,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,5.0,1000.0,0.580078125,5.0,5.653751273148148,176.87371652682828,1.303084352119458,10.260057384466405,88.43685826341414
metropolitan_edge,metropolitan edge federation,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,20.0,200.0,2.900390625,20.0,22.97406377314815,43.52734500409935,0.3206796536982568,12.624630338103035,87.0546900081987
regional_cloud,regional public cloud deployment,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,50.0,100.0,5.80078125,50.0,55.874454398148146,17.897266483789473,0.13185479651071083,10.381812784541939,89.48633241894736
cross_region_cloud,cross-region cloud collaboration,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,100.0,50.0,11.6015625,100.0,111.67523564814815,8.954536734989935,0.06597089114749483,10.388661758953166,89.54536734989934
iot_gateway,constrained IoT gateway uplink,Wine,general,3Share-DM (3-party),3,1,0.07367314814814815,0.072509765625,30.0,20.0,29.00390625,30.0,59.077579398148146,16.92689528222861,0.12470576638158185,49.09460838693259,50.780685846685834
edge_lan,co-located edge/cloudlet nodes,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,1.0,1000.0,40.0,4.0,44.04257314814815,22.705303721384563,0.09666362590792044,90.82121488553825,9.082121488553826
campus_cloudlet,campus or hospital cloudlet,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,5.0,1000.0,40.0,20.0,60.04257314814815,16.65484917730982,0.07090493614106742,66.61939670923928,33.30969835461964
metropolitan_edge,metropolitan edge federation,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,20.0,200.0,200.0,80.0,280.0425731481481,3.570885629132468,0.015202384290914975,71.41771258264936,28.56708503305974
regional_cloud,regional public cloud deployment,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,50.0,100.0,400.0,200.0,600.0425731481482,1.6665484163122937,0.007095021262372494,66.66193665249175,33.33096832624587
cross_region_cloud,cross-region cloud collaboration,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,100.0,50.0,800.0,400.0,1200.0425731481482,0.8333037696959669,0.003547636483967672,66.66430157567736,33.33215078783868
iot_gateway,constrained IoT gateway uplink,Wine,general,SecureNN (3PC),3,4,0.042573148148148145,5.0,30.0,20.0,2000.0,120.0,2120.042573148148,0.47168864091019375,0.002008127038926833,94.33772818203875,5.660263690922325
