Task,Domain,PlainAcc,PlainAccStd,PlainPerSampleMs,PlainPerSampleMsStd,EvalSamples,Repeats,SeedsUsed
Diabetes,medical,0.7378277153558053,0.023389505611979014,0.011739700374531835,0.0009777697837156753,89,3,"42,52,62"
Digits,general,0.9527777777777777,0.004811252243246928,0.00724675925925926,0.0006918106350241447,360,3,"42,52,62"
Fashion,general,0.865,0.003487119154832537,0.006320853333333334,0.0006987125833512184,5000,3,"42,52,62"
Heart,medical,0.8444444444444444,0.01924500897298752,0.014662777777777778,0.0012607860569825004,60,3,"42,52,62"
Liver,medical,0.7101449275362319,0.014492753623188415,0.015242028985507245,0.0009488969264475626,69,3,"42,52,62"
MNIST,general,0.9446,0.005480875842417873,0.007671626666666666,0.00289166520028397,5000,3,"42,52,62"
Medical,medical,0.9415204678362573,0.005064476045522985,0.010569005847953217,0.0008674211563010713,114,3,"42,52,62"
Wine,general,0.9722222222222222,0.0,0.021244444444444444,0.0018734396799918326,36,3,"42,52,62"
