Method,MinBatch,MaxBatch,BestBatch,ThroughputAtMinBatch,ThroughputAtMaxBatch,BestThroughput,BestOverMinBatch,MaxBatchOverMinBatch
2Cloud-D (Data-only),256,2048,2048,119376.53738094406,829536.0187941755,829536.0187941755,6.9489033355610905,6.9489033355610905
3Share-DM (3-party),256,2048,2048,81009.29352222316,615292.1736517951,615292.1736517951,7.595328225927596,7.595328225927596
ASS (Ours),256,2048,2048,113796.74390176144,810078.515910844,810078.515910844,7.118644067796609,7.118644067796609
SecureNN (3PC),256,2048,256,14073.666849917536,2389.4773391676404,14073.666849917536,1.0,0.1697835656228882
