TrainRatio,Method,Tasks,MeanProtocolAcc,MeanProtocolTailRecall,MeanSingleCloudAcc,MeanSingleCloudTailRecall,MeanExposureGapAcc,MeanExposureGapTailRecall,ExecutableShare
19:1,2Cloud-D (Data-only),4,0.6386984804463528,0.22023809523809523,0.6386984804463528,0.22023809523809523,0.0,0.0,1
19:1,ASS (Ours),4,0.6386984804463528,0.22023809523809523,0.4286989303987864,0.5748631636562671,0.20999955004756637,-0.3546250684181719,0
1:1,2Cloud-D (Data-only),4,0.8030304296402951,0.7829296661193212,0.8030304296402951,0.7829296661193212,0.0,0.0,1
1:1,ASS (Ours),4,0.8030304296402951,0.7829296661193212,0.4286989303987864,0.5748631636562671,0.3743314992415087,0.2080665024630542,0
4:1,2Cloud-D (Data-only),4,0.7677574799235509,0.5216954022988506,0.7677574799235509,0.5216954022988506,0.0,0.0,1
4:1,ASS (Ours),4,0.7677574799235509,0.5216954022988506,0.4286989303987864,0.5748631636562671,0.33905854952476455,-0.05316776135741656,0
9:1,2Cloud-D (Data-only),4,0.7065133828709537,0.37043650793650795,0.7065133828709537,0.37043650793650795,0.0,0.0,1
9:1,ASS (Ours),4,0.702346716204287,0.3615079365079365,0.4286989303987864,0.5748631636562671,0.27364778580550053,-0.2133552271483306,0
