Scenario,Task,Domain,ASSProjectedMs,TwoCloudProjectedMs,ASSOverTwoCloud,ThreeShareProjectedMs,ThreeShareOverASS,SecureNNProjectedMs,SecureNNOverASS,ASSProjectedQPS,ASSComputeSharePct,ASSNetworkSharePct
edge_lan,Diabetes,medical,1.6442743057993914,1.4442772157361892,1.1384755557202764,2.3804526129447563,1.4477223201438154,36.02820416666667,21.9113100773967,608.1710311186997,1.5211336939752018,98.4788663060248
edge_lan,Digits,general,7.509529953703704,5.66396349537037,1.325843635793534,15.158473125,2.0185648394043403,84.04122083333333,11.191275799077697,133.16412693803818,0.07488755938619154,99.92511244061379
edge_lan,Fashion,general,486.84133211666665,402.61267101833334,1.209205191891484,1017.8476692783333,2.090717451726996,392.41213854166665,0.8060370240865847,2.0540573160710194,0.00030571904406629025,99.99969428095594
edge_lan,Heart,medical,1.4605495746527777,1.3266736371527776,1.1009109804784514,1.9782524479166668,1.3544575838084543,44.02802333333333,30.14483321718148,684.6737812632852,2.1966236774540806,97.80337632254593
edge_lan,Liver,medical,1.2907982535099638,1.204283264455012,1.071839401583068,1.6194997999698066,1.2546498227480796,20.025786979166668,15.514265629591733,774.7144042694359,2.3001158385309664,97.69988416146901
edge_lan,MNIST,general,486.84136950333334,402.61499259833334,1.2091983121677439,1017.8477415183334,2.0907174395567965,392.8712552083333,0.8069800140631709,2.054057158331022,0.00031339845561807517,99.99968660154438
edge_lan,Medical,medical,1.949930941611842,1.6992102042214912,1.1475513369490509,3.029540168128655,1.5536653650023071,100.02908541666666,51.29878360409068,512.8386747755205,0.9004367468690193,99.09956325313098
edge_lan,Wine,general,1.3200459924768517,1.2328674913194444,1.0707119798122886,1.6537512731481483,1.2527982226173444,44.04257314814815,33.36442320885307,757.549362445821,4.104163957969206,95.89583604203081
campus_cloudlet,Diabetes,medical,5.644274305799391,5.444277215736189,1.0367352877412503,6.380452612944756,1.1304292221214258,52.02820416666667,9.217873077714989,177.17069472908463,0.44313244062558055,99.55686755937442
campus_cloudlet,Digits,general,11.509529953703705,9.663963495370371,1.1909740717892274,19.158473125,1.6645747656128134,100.04122083333333,8.692033578759712,86.88452126389448,0.04886128040262865,99.95113871959735
campus_cloudlet,Fashion,general,490.84133211666665,406.61267101833334,1.2071471626483956,1021.8476692783333,2.081828897480568,408.41213854166665,0.8320655002309226,2.0373182423079093,0.0003032276561243015,99.99969677234388
campus_cloudlet,Heart,medical,5.460549574652778,5.326673637152778,1.025133121835405,5.978252447916667,1.0948078332018087,60.02802333333333,10.99303696682405,183.13175007912776,0.5875375241844194,99.41246247581557
campus_cloudlet,Liver,medical,5.290798253509964,5.204283264455012,1.0166238047889984,5.619499799969807,1.062127023316714,36.02578697916667,6.809140181307581,189.00739587577183,0.5611602191175453,99.43883978088245
campus_cloudlet,MNIST,general,490.84136950333334,406.61499259833334,1.2071403623530463,1021.8477415183334,2.081828886086575,408.8712552083333,0.8330008035428168,2.037318087128369,0.00031084448624963995,99.99968915551375
campus_cloudlet,Medical,medical,5.949930941611842,5.699210204221491,1.043992189865999,7.029540168128655,1.1814490348058302,116.02908541666666,19.500912961056027,168.06917757756347,0.2950940928414482,99.70490590715856
campus_cloudlet,Wine,general,5.320045992476852,5.232867491319444,1.0166597952847123,5.653751273148148,1.062726014238071,60.04257314814815,11.286100389555871,187.96829978803066,1.0183530730460613,98.98164692695393
