Method,ApplicableTasks,MeasurementMode,MeanLatencyVsASS,MaxLatencyVsASS,AccuracyComparableTasks,MeanAccGapVsASS,SinglePointModelExposure,MinCollusionModel,BoundaryConclusion
CKKS (HE),3,latency_microbenchmark,576504.5102592041,869728.1583839109,0,,1,1,"CKKS provides a single-cloud encrypted inference boundary, but latency remains several orders above ASS and model ownership stays single-cloud visible."
Paillier (PHE),3,sampled_end_to_end,38452239.29487372,59925327.88963295,3,0.01629317738791425,1,1,"Paillier keeps partial end-to-end task comparability, but remains far slower than ASS and still leaves model visibility on a single cloud."
