Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
Fashion,general,ASS (Ours),SUCCESS,5000,5000,3,0.8650666666666667,0.0035571524191877887,0.8610413697694042,0.8690919635639291,-6.666666666665932e-05,0.0014883666666666666,5.562700543201428e-05,0.0014254187842083095,0.0015513145491250237,671877.4495532016,60.72998046875,0.38822174072265625,62.45105542361535,37.54894457638465,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Fashion,general,3Share-DM (3-party),SUCCESS,5000,5000,3,0.8652,0.0036715119501371796,0.8610452931110205,0.8693547068889794,-0.00019999999999997797,0.001966153333333333,9.299069272423633e-05,0.0018609244584394567,0.00207138220822721,508607.33140514645,127.105712890625,0.7764434814453125,68.37151349628878,31.628486503711212,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Fashion,general,SecureNN (3PC),SUCCESS,5000,64,3,0.8593999999999999,0.004014971979976952,0.85485663149928,0.8639433685007198,0.005600000000000049,0.4121385416666667,0.015450030445122368,0.3946551863631672,0.4296218969701662,2426.3685603293793,48.5,0.7764434814453125,60.89110930887065,39.10889069112935,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Fashion,general,CKKS (HE),NA,,1,1,,,,,,1294.4744,0.0,,,0.7725143116001366,,,1.0620416000000001,0.2309248,multi_seed_train_repeats,62,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
Fashion,general,Paillier (PHE),APPROX,5,5,1,1.0,0.0,,,-0.135,89190.86052000002,0.0,,,0.011211911110284238,50.0,,60.0,40.0,multi_seed_train_repeats,62,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
Heart,medical,2Cloud-D (Data-only),SUCCESS,60,60,3,0.8444444444444444,0.01924500897298752,0.8226666666666667,0.8662222222222222,0.0,0.03004277777777778,0.002666229304411702,0.027025655292795984,0.033059900262759574,33285.87014812212,0.037078857421875,0.0,40.73461019083987,59.265389809160126,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
Heart,medical,ASS (Ours),SUCCESS,60,60,3,0.8444444444444444,0.01924500897298752,0.8226666666666667,0.8662222222222222,0.0,0.03208277777777778,0.0011528398912315702,0.03077821663156901,0.03338733892398655,31169.37089819737,0.053558349609375,0.00098419189453125,54.11184581871922,45.88815418128078,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
Heart,medical,3Share-DM (3-party),SUCCESS,60,60,3,0.8444444444444444,0.01924500897298752,0.8226666666666667,0.8662222222222222,0.0,0.04807666666666667,0.0032415869741703883,0.04440846568687451,0.05174486764645883,20800.110933924978,0.11627197265625,0.0019683837890625,66.31500488371444,33.68499511628557,multi_seed_train_repeats,"42,52,62",share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
Heart,medical,SecureNN (3PC),SUCCESS,60,60,3,0.8444444444444444,0.01924500897298752,0.8226666666666667,0.8662222222222222,0.0,0.028023333333333334,0.0014505985354711691,0.026381826561650237,0.02966484010501643,35684.54859046033,5.0,0.0019683837890625,59.03812205772098,40.96187794227902,multi_seed_train_repeats,"42,52,62",simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
Heart,medical,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,multi_seed_train_repeats,"42,52,62",micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
