Seed,Task,Domain,Method,Status,EvalSamples,TimingSamples,Repeats,AccMean,AccStd,AccCI95Low,AccCI95High,AccDropVsPlain,PerSampleMsMean,PerSampleMsStd,TimeCI95Low,TimeCI95High,ThroughputMean,OnlineCommMB,OfflineSetupMB,LinearPct,ReLUPct,SeedMode,SeedsUsed,ImplementationScope,ComparisonRole,CommMeasurementBasis,Parties,InteractionRounds,DataSplit,ModelSplit,SinglePointDataExposure,SinglePointModelExposure,MinCollusionInput,MinCollusionModel,CommType,Evidence,Error
42,Medical,medical,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Wine,general,2Cloud-D (Data-only),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.04953888888888889,0.0,,,20186.16126499944,0.022796630859375,0.0,39.99752413963852,60.00247586036148,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Wine,general,ASS (Ours),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.054075,0.0,,,18492.83402681461,0.033233642578125,0.001049041748046875,56.845238095238095,43.154761904761905,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Wine,general,3Share-DM (3-party),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.07504166666666667,0.0,,,13325.930038867295,0.072509765625,0.00209808349609375,62.02180101367772,37.9781989863223,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
42,Wine,general,SecureNN (3PC),SUCCESS,36,36,1,0.9722222222222222,0.0,,,0.0,0.045947222222222216,0.0,,,21764.101323982835,5.0,0.00209808349609375,51.001167280237034,48.99883271976295,single_seed_reference,,simulator,baseline,task_level_proxy,3,4,1,1,0,0,2,2,Estimated,Three-party SecureNN-style simulator with multi-round DReLU overhead,
42,Wine,general,CKKS (HE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,micro-benchmark,boundary,micro_benchmark_projection,2,0,0,0,0,1,2,1,Ciphertext-heavy,Micro-benchmark projection for single-cloud CKKS inference,
42,Wine,general,Paillier (PHE),SKIPPED,,,0,,,,,,,,,,,,,,,single_seed_reference,,sampled-client-aided,boundary,sampled_execution_with_time_cap,2,0,0,0,0,1,2,1,Estimated,Single-cloud partially homomorphic baseline with client-aided non-linearity,
42,Diabetes,medical,2Cloud-D (Data-only),SUCCESS,89,89,1,0.7640449438202247,0.0,,,0.0,0.02154943820224719,0.0,,,46404.92205015903,0.0529632568359375,0.0,41.8384343118884,58.161565688111594,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,0,0,1,2,1,Estimated + LoopbackAudit,"Reference-style baseline: only input data are split, model remains visible on each cloud",
42,Diabetes,medical,ASS (Ours),SUCCESS,89,89,1,0.7640449438202247,0.0,,,0.0,0.026015730337078654,0.0,,,38438.28280210762,0.0774078369140625,0.00080108642578125,59.91480483352169,40.08519516647831,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,2,1,1,1,0,0,2,2,Estimated + LoopbackAudit,2-share data split + 2-share model split; one-round non-linear interaction simulation,
42,Diabetes,medical,3Share-DM (3-party),SUCCESS,89,89,1,0.7640449438202247,0.0,,,0.0,0.03255617977528089,0.0,,,30716.13459879207,0.16839599609375,0.0016021728515625,61.77381629685821,38.226183703141785,single_seed_reference,,share-simulator,main,analytic_estimate_with_localhost_replay,3,1,1,1,0,0,3,3,Estimated + LoopbackAudit,3-share extension for data and model; evaluates the cost of adding one more party,
