Method,GeneralMeanAcc,MedicalMeanAcc,GeneralMeanLatencyMs,MedicalMeanLatencyMs,AccDomainGap,LatencyDomainGap
2Cloud-D (Data-only),0.9336333333333333,0.8084843887931847,0.015315545370370371,0.023835689766367556,-0.12514894454014858,0.008520144395997185
ASS (Ours),0.93365,0.8084843887931847,0.01570366888888889,0.026085534518493762,-0.12516561120681524,0.010381865629604872
3Share-DM (3-party),0.9336666666666666,0.8084843887931847,0.021440048703703706,0.03843528067747124,-0.1251822778734819,0.016995231973767535
SecureNN (3PC),0.9317314814814814,0.8072766593245857,0.3417969328703704,0.027774973958333334,-0.12445482215689574,-0.31402195891203705
